PlcIndex;Easting;Northing
354;585826;4691405
355;592558;4694672
356;592800;4694600
357;591000;4695000
358;570038;4678815
359;569960;4680400
360;570280;4680200
361;612200;4672460
362;612840;4673440
363;669420;4698400
364;669440;4698340
365;569150;4697350
366;571650;4696820
367;576000;4699000
368;577573;4699355
369;593000;4696000
370;597250;4694400
371;611450;4638550
372;610250;4639600
373;593000;4675000
374;588105;4642390
375;593296;4690470
376;597760;4687628
377;590234;4694380
378;593730;4698879
379;597937;4685445
380;583143;4689387
381;592295;4690983
382;592746;4693655
383;588591;4693376
384;588070;4693178
385;590248;4690664
386;585932;4691578
387;594254;4689453
388;593436;4688577
389;592509;4689283
390;591913;4689949
391;594285;4689691
392;598000;4685000
393;604106;4700884
394;569700;4670300
395;576040;4684860
396;577800;4685200
397;575100;4684850
398;570260;4684100
399;679058;4702586
400;579767;4690491
401;579000;4690000
402;593460;4678842
403;593120;4685060
404;598000;4683000
405;593000;4678000
406;597000;4683000
407;599000;4683000
408;585700;4700260
409;604175;4664241
410;604100;4664400
411;588310;4684640
412;588345;4684640
413;588000;4683050
414;587340;4683535
415;582500;4688600
416;611350;4655900
417;646500;4672180
418;602060;4676960
419;652410;4745331
420;652574;4744997
421;651666;4753410
422;609519;4776327
423;624232;4716320
424;624249;4717510
425;624374;4717267
426;635709;4767460
427;636150;4766345
428;597822;4716925
429;613595;4788468
430;638110;4828257
431;588995;4785458
432;591836;4777110
433;632200;4806200
434;635900;4813900
435;621800;4777060
436;593629;4749998
437;617416;4706815
438;617134;4706803
439;617512;4707161
440;617083;4707166
441;616867;4706481
442;619820;4726540
443;644244;4705212
444;658412;4823900
445;651600;4824219
446;609346;4720973
447;609532;4720700
448;618444;4703326
449;618908;4699613
450;618783;4703111
451;647090;4736660
452;521600;4752320
453;517640;4756260
454;589400;4845500
455;578560;4779100
456;573840;4773060
457;576920;4778560
458;572580;4778720
459;564880;4812620
460;555461;4813550
461;580275;4759380
462;580238;4759500
463;580236;4760277
464;580490;4760222
465;580517;4760540
466;579874;4760078
467;579519;4751513
468;579519;4751513
469;520960;4752800
470;543625;4756800
471;503185;4724515
472;510756;4771054
473;546954;4757690
474;542150;4753450
475;538400;4746610
476;542025;4754700
477;578500;4745380
478;582960;4761880
479;581860;4760320
480;582231;4760717
481;581250;4760599
482;581980;4761400
483;584140;4762900
484;585260;4759120
485;584140;4762160
486;582020;4760600
487;572318;4761109
488;582860;4766400
489;582240;4761540
490;579874;4760178
491;580012;4759744
492;580123;4760175
493;580230;4760238
494;580408;4760080
495;580372;4760380
496;580103;4759653
497;580091;4759534
498;580091;4759471
499;580099;4759380
500;580226;4759530
501;580151;4759577
502;580502;4759115
503;580906;4759487
